date,amount,description,account,payee
2025-05-22,2800.00,Monthly Salary,TechCorp Berlin GmbH,Alex Mueller
2025-05-22,-850.00,Rent Payment,Vonovia SE,Monthly Rent
2025-05-23,-45.30,Grocery Shopping,REWE,Grocery Store
2025-05-24,-12.50,Coffee and Lunch,Starbucks,Coffee Shop
2025-05-24,-2.90,Metro Ticket,BVG,Public Transport
2025-05-25,-85.00,Gym Membership,McFit,Fitness Studio
2025-05-25,-25.00,Dinner with Friends,Pizza Hut,Restaurant
2025-05-26,-120.00,Electricity Bill,Vattenfall,Utility
2025-05-27,-35.50,Grocery Shopping,Edeka,Grocery Store
2025-05-28,-15.00,Cinema Tickets,CineStar,Movie Theater
2025-05-28,-30.00,Drinks After Movie,Bar Central,Bar
2025-05-29,-55.00,New T-Shirt,H&M,Clothing Store
2025-05-30,-9.99,Netflix Subscription,Netflix,Streaming Service
2025-05-31,-42.80,Grocery Shopping,REWE,Grocery Store
2025-05-31,-300.00,ETF Purchase,TradeRepublic,TradeRepublic
2025-06-01,-850.00,Rent Payment,Vonovia SE,Monthly Rent
2025-06-02,-38.20,Grocery Shopping,Lidl,Grocery Store
2025-06-03,-18.50,Lunch at Work,Subway,Restaurant
2025-06-04,-65.00,Concert Tickets,Eventim,Entertainment
2025-06-05,-22.90,Metro Weekly Pass,BVG,Public Transport
2025-06-05,-78.50,Grocery Shopping,REWE,Grocery Store
2025-06-06,-32.00,Dinner Date,Restaurant Mitte,Restaurant
2025-06-07,-150.00,New Shoes,Adidas Store,Clothing Store
2025-06-08,-8.50,Coffee Break,Coffee Fellows,Coffee Shop
2025-06-09,-45.00,Pharmacy Visit,Apotheke,Healthcare
2025-06-10,-95.00,Club Night,Watergate,Nightclub
2025-06-11,-25.50,Lunch Meeting,Zur Letzten Instanz,Restaurant
2025-06-12,-11.99,Spotify Premium,Spotify,Music Streaming
2025-06-13,-68.90,Weekly Groceries,Edeka,Grocery Store
2025-06-14,-180.00,Weekend Trip,DB Deutsche Bahn,Train Travel
2025-06-15,2800.00,Monthly Salary,TechCorp Berlin GmbH,Alex Mueller
2025-06-15,-300.00,ETF Purchase,TradeRepublic,TradeRepublic
2025-06-15,-15.50,Breakfast,Café Einstein,Coffee Shop
2025-06-16,-72.00,Dinner with Colleagues,Lokal Modern,Restaurant
2025-06-17,-28.90,Uber Ride,Uber,Ride Sharing
2025-06-18,-42.30,Grocery Shopping,REWE,Grocery Store
2025-07-19,-135.00,New Headphones,Saturn,Electronics Store
2025-06-20,-19.90,Movie Night,UCI Kinowelt,Movie Theater
2025-06-21,-85.00,Gym Membership,McFit,Fitness Studio
2025-07-22,-250.00,Birthday Party,Various Bars,Entertainment
2025-06-23,-35.60,Brunch,Café Anna Blume,Restaurant
2025-05-24,-120.00,Gas Bill,Gasag,Utility
2025-06-25,-55.80,Grocery Shopping,Lidl,Grocery Store
2025-06-26,-89.00,New Jeans,Zara,Clothing Store
2025-06-27,-16.50,Thai Takeaway,Bangkok Restaurant,Restaurant
2025-06-28,-45.00,Cocktail Bar,Schumann's Bar,Bar
2025-06-29,-14.99,iCloud Storage,Apple,Cloud Service
2025-06-30,-38.40,Grocery Shopping,Edeka,Grocery Store
2025-07-01,-850.00,Rent Payment,Vonovia SE,Monthly Rent
2025-07-02,-52.30,Grocery Shopping,REWE,Grocery Store
2025-07-03,-22.50,Pizza Delivery,Domino's,Food Delivery
2025-07-04,-18.90,Coffee Date,Distrikt Coffee,Coffee Shop
2025-07-05,-125.00,Summer Festival,Lollapalooza,Music Festival
2025-07-06,-65.40,Dinner Party,Katz Orange,Restaurant
2025-07-07,-35.00,Taxi Home,Taxi Berlin,Taxi
2025-07-08,-95.00,New Sneakers,Nike Store,Clothing Store
2025-07-09,-28.70,Lunch Break,Burrito Baby,Restaurant
2025-07-10,-85.00,Gym Membership,McFit,Fitness Studio
2025-07-11,-48.90,Grocery Shopping,Lidl,Grocery Store
2025-07-12,-75.00,Saturday Night Out,Sisyphos,Nightclub
2025-07-13,-32.50,Sunday Brunch,Hackescher Hof,Restaurant
2025-07-14,-12.99,YouTube Premium,YouTube,Video Streaming
2025-07-15,2800.00,Monthly Salary,TechCorp Berlin GmbH,Alex Mueller
2025-07-15,-300.00,ETF Purchase,TradeRepublic,TradeRepublic
2025-07-15,-19.35,Food Delivery,Lieferando,Food Delivery
2025-07-16,-37.80,Coffee Meeting,Father Carpenter,Coffee Shop
2025-07-17,-94.28,New Laptop Mouse,Media Markt,Electronics Store
2025-07-18,-23.50,Food Truck Lunch,Street Food Thursday,Food Truck
2025-07-18,-23.80,Cinema Date,Kino International,Movie Theater
2025-07-19,-194.23,Home Furniture,IKEA,Furniture Store
2025-07-19,-29.82,Personal Training,Urban Sports Club,Fitness
2025-07-20,-26.81,Theater Show,Deutsches Theater,Theater
2025-07-21,-14.10,Fast Food,McDonald's,Fast Food
2025-07-21,-12.07,Music Streaming,Apple Music,Music Service
2025-07-22,-41.60,Final Grocery Run,REWE,Grocery Store
